S1c Underflow of the relevance-weighted merge criterion
    lam offset (sd of the message ~1.5)  width   costs exactly 0   ties at min   argmin matches exact ranking
             8                         1.00           0.0%         1.0                     100%
             8                         0.25           0.0%         1.0                     100%
            12                         1.00           0.0%         1.0                     100%
            12                         0.25           0.0%         1.0                     100%
            16                         1.00           0.0%         1.0                     100%
            16                         0.25           0.0%         1.0                     100%
            20                         1.00           0.0%         1.0                     100%
            20                         0.25           0.0%         1.0                     100%
            24                         1.00           0.0%         1.0                     100%
            24                         0.25           1.2%         1.1                      95%
            30                         1.00           0.0%         1.0                     100%
            30                         0.25          22.7%        10.2                      12%
            40                         1.00           0.6%         1.1                      95%
            40                         0.25          82.2%        37.0                       2%
            60                         1.00          92.3%        41.5                       0%
            60                         0.25          96.9%        43.6                       2%
            90                         1.00          99.9%        45.0                       0%
            90                         0.25          99.8%        44.9                       0%
           130                         1.00         100.0%        45.0                       2%
           130                         0.25         100.0%        45.0                       0%
